ref,claim
RCPT-000137,CATEGORY
RCPT-000137,DISABILITY
RCPT-000138,CATEGORY
RCPT-000138,LOCAL_RESIDENCE
RCPT-000139,CATEGORY
RCPT-000140,CATEGORY
RCPT-000141,CATEGORY
RCPT-000141,EX_SERVICE
RCPT-000142,LOCAL_RESIDENCE
ONLINE-000046,CATEGORY
ONLINE-000046,EX_SERVICE
RCPT-000143,CATEGORY
RCPT-000145,CATEGORY
RCPT-000146,LOCAL_RESIDENCE
RCPT-000147,LOCAL_RESIDENCE
RCPT-000147,DISABILITY
ONLINE-000047,CATEGORY
RCPT-000148,CATEGORY
RCPT-000149,CATEGORY
RCPT-000150,CATEGORY
RCPT-000150,LOCAL_RESIDENCE
RCPT-000152,CATEGORY
RCPT-000152,INCOME
RCPT-000154,CATEGORY
RCPT-000155,CATEGORY
RCPT-000157,LOCAL_RESIDENCE
RCPT-000158,CATEGORY
ONLINE-000051,CATEGORY
ONLINE-000051,DISABILITY
ONLINE-000052,CATEGORY
ONLINE-000052,LOCAL_RESIDENCE
RCPT-000159,CATEGORY
RCPT-000159,LOCAL_RESIDENCE
RCPT-000160,CATEGORY
RCPT-000160,INCOME
RCPT-000160,LOCAL_RESIDENCE
ONLINE-000053,CATEGORY
RCPT-000163,CATEGORY
RCPT-000163,LOCAL_RESIDENCE
RCPT-000165,CATEGORY
RCPT-000165,EX_SERVICE
ONLINE-000054,CATEGORY
ONLINE-000054,LOCAL_RESIDENCE
ONLINE-000054,DISABILITY
RCPT-000166,CATEGORY
RCPT-000167,CATEGORY
RCPT-000169,CATEGORY
RCPT-000170,CATEGORY
ONLINE-000056,CATEGORY
ONLINE-000056,LOCAL_RESIDENCE
ONLINE-000057,CATEGORY
ONLINE-000057,LOCAL_RESIDENCE
ONLINE-000058,CATEGORY
ONLINE-000058,LOCAL_RESIDENCE
RCPT-000172,CATEGORY
RCPT-000173,LOCAL_RESIDENCE
RCPT-000176,CATEGORY
RCPT-000178,LOCAL_RESIDENCE
RCPT-000180,LOCAL_RESIDENCE
RCPT-000181,CATEGORY
RCPT-000181,INCOME
RCPT-000181,LOCAL_RESIDENCE
RCPT-000182,CATEGORY
ONLINE-000059,CATEGORY
RCPT-000183,CATEGORY
RCPT-000183,LOCAL_RESIDENCE
RCPT-000184,CATEGORY
RCPT-000185,CATEGORY
RCPT-000185,INCOME
RCPT-000185,LOCAL_RESIDENCE
RCPT-000186,CATEGORY
ONLINE-000060,CATEGORY
ONLINE-000060,INCOME
RCPT-000187,CATEGORY
RCPT-000187,INCOME
RCPT-000188,CATEGORY
RCPT-000188,DISABILITY
RCPT-000191,LOCAL_RESIDENCE
ONLINE-000061,CATEGORY
ONLINE-000061,INCOME
ONLINE-000062,CATEGORY
RCPT-000193,LOCAL_RESIDENCE
ONLINE-000063,CATEGORY
ONLINE-000063,LOCAL_RESIDENCE
RCPT-000194,CATEGORY
RCPT-000195,CATEGORY
RCPT-000197,CATEGORY
RCPT-000198,CATEGORY
RCPT-000198,LOCAL_RESIDENCE
ONLINE-000064,DISABILITY
RCPT-000199,CATEGORY
RCPT-000201,CATEGORY
RCPT-000202,CATEGORY
RCPT-000205,LOCAL_RESIDENCE
RCPT-000206,LOCAL_RESIDENCE
RCPT-000207,CATEGORY
RCPT-000207,LOCAL_RESIDENCE
ONLINE-000065,LOCAL_RESIDENCE
ONLINE-000066,LOCAL_RESIDENCE
RCPT-000212,CATEGORY
RCPT-000216,CATEGORY
RCPT-000217,CATEGORY
RCPT-000218,CATEGORY
RCPT-000218,INCOME
RCPT-000219,CATEGORY
ONLINE-000067,CATEGORY
ONLINE-000068,DISABILITY
RCPT-000221,CATEGORY
RCPT-000222,CATEGORY
RCPT-000223,CATEGORY
RCPT-000225,LOCAL_RESIDENCE
RCPT-000226,CATEGORY
RCPT-000227,CATEGORY
RCPT-000227,DISABILITY
RCPT-000229,CATEGORY
RCPT-000229,LOCAL_RESIDENCE
RCPT-000230,LOCAL_RESIDENCE
RCPT-000231,CATEGORY
RCPT-000231,INCOME
ONLINE-000069,CATEGORY
ONLINE-000069,LOCAL_RESIDENCE
ONLINE-000070,CATEGORY
RCPT-000233,LOCAL_RESIDENCE
RCPT-000234,LOCAL_RESIDENCE
RCPT-000236,CATEGORY
RCPT-000236,INCOME
RCPT-000236,LOCAL_RESIDENCE
RCPT-000237,CATEGORY
RCPT-000237,INCOME
RCPT-000238,LOCAL_RESIDENCE
RCPT-000239,CATEGORY
RCPT-000241,CATEGORY
RCPT-000241,DISABILITY
ONLINE-000071,CATEGORY
ONLINE-000071,LOCAL_RESIDENCE
RCPT-000243,CATEGORY
RCPT-000243,LOCAL_RESIDENCE
ONLINE-000072,LOCAL_RESIDENCE
ONLINE-000073,CATEGORY
ONLINE-000073,LOCAL_RESIDENCE
RCPT-000245,DISABILITY
ONLINE-000074,CATEGORY
RCPT-000248,CATEGORY
ONLINE-000075,CATEGORY
RCPT-000249,CATEGORY
ONLINE-000076,LOCAL_RESIDENCE
RCPT-000252,CATEGORY
RCPT-000252,LOCAL_RESIDENCE
RCPT-000253,CATEGORY
ONLINE-000077,LOCAL_RESIDENCE
RCPT-000255,LOCAL_RESIDENCE
RCPT-000256,LOCAL_RESIDENCE
RCPT-000258,DISABILITY
RCPT-000259,LOCAL_RESIDENCE
RCPT-000259,DISABILITY
RCPT-000261,CATEGORY
RCPT-000262,CATEGORY
RCPT-000264,LOCAL_RESIDENCE
RCPT-000265,CATEGORY
RCPT-000268,LOCAL_RESIDENCE
ONLINE-000080,LOCAL_RESIDENCE
ONLINE-000080,DISABILITY
RCPT-000272,CATEGORY
RCPT-000272,INCOME
RCPT-000272,LOCAL_RESIDENCE
RCPT-000273,LOCAL_RESIDENCE
ONLINE-000081,CATEGORY
RCPT-000277,LOCAL_RESIDENCE
RCPT-000278,CATEGORY
RCPT-000278,LOCAL_RESIDENCE
RCPT-000279,LOCAL_RESIDENCE
RCPT-000280,CATEGORY
RCPT-000280,LOCAL_RESIDENCE
RCPT-000281,CATEGORY
RCPT-000281,LOCAL_RESIDENCE
ONLINE-000084,LOCAL_RESIDENCE
ONLINE-000085,CATEGORY
ONLINE-000085,LOCAL_RESIDENCE
ONLINE-000086,LOCAL_RESIDENCE
ONLINE-000087,CATEGORY
ONLINE-000088,CATEGORY
ONLINE-000088,LOCAL_RESIDENCE
RCPT-000283,CATEGORY
RCPT-000284,CATEGORY
RCPT-000285,CATEGORY
RCPT-000285,LOCAL_RESIDENCE
RCPT-000287,DISABILITY
RCPT-000288,CATEGORY
RCPT-000289,CATEGORY
RCPT-000289,INCOME
RCPT-000290,LOCAL_RESIDENCE
RCPT-000291,CATEGORY
RCPT-000291,INCOME
RCPT-000292,CATEGORY
RCPT-000292,LOCAL_RESIDENCE
ONLINE-000092,CATEGORY
ONLINE-000092,INCOME
ONLINE-000092,LOCAL_RESIDENCE
RCPT-000293,LOCAL_RESIDENCE
RCPT-000294,CATEGORY
RCPT-000294,INCOME
ONLINE-000093,CATEGORY
RCPT-000296,CATEGORY
RCPT-000296,LOCAL_RESIDENCE
RCPT-000298,CATEGORY
RCPT-000299,LOCAL_RESIDENCE
RCPT-000300,CATEGORY
RCPT-000300,LOCAL_RESIDENCE
ONLINE-000094,CATEGORY
ONLINE-000095,CATEGORY
ONLINE-000095,LOCAL_RESIDENCE
ONLINE-000098,CATEGORY
ONLINE-000098,INCOME
RCPT-000305,LOCAL_RESIDENCE
ONLINE-000099,LOCAL_RESIDENCE
RCPT-000310,CATEGORY
RCPT-000310,INCOME
RCPT-000311,CATEGORY
ONLINE-000102,LOCAL_RESIDENCE
RCPT-000312,CATEGORY
RCPT-000312,LOCAL_RESIDENCE
RCPT-000312,DISABILITY
RCPT-000313,LOCAL_RESIDENCE
RCPT-000314,CATEGORY
ONLINE-000103,CATEGORY
ONLINE-000103,LOCAL_RESIDENCE
ONLINE-000104,CATEGORY
ONLINE-000104,LOCAL_RESIDENCE
RCPT-000315,CATEGORY
RCPT-000315,INCOME
RCPT-000315,LOCAL_RESIDENCE
ONLINE-000105,CATEGORY
RCPT-000317,CATEGORY
RCPT-000317,INCOME
RCPT-000317,LOCAL_RESIDENCE
RCPT-000317,DISABILITY
RCPT-000318,CATEGORY
RCPT-000318,LOCAL_RESIDENCE
RCPT-000319,CATEGORY
ONLINE-000106,CATEGORY
RCPT-000320,CATEGORY
RCPT-000320,DISABILITY
RCPT-000321,CATEGORY
RCPT-000321,LOCAL_RESIDENCE
ONLINE-000107,CATEGORY
ONLINE-000107,LOCAL_RESIDENCE
ONLINE-000107,DISABILITY
ONLINE-000108,CATEGORY
ONLINE-000108,INCOME
